R1 Temperature,R1 Flow,R1 H2/CH4,R2 Temperature,R2 Flow,R2 H2/CH4,Conversion (%),C2 sel.,Aromatics sel.,Aromatics sel. + Coke sel.,Coke sel.,Acetylene/(Ethane+Ethylene) ratio,C2 Yield,Aromatics Yield,Coke yield,Hydrocarbon yield,Total score (b)-1,Total score (b)-2,Total score (b)-3,Total score (b)-4,Total score (b)-5,Total score (b)-6
-0.2,-0.2,-1,-0.2,0.25,0.2,9.310921225,56.08567019,24.55532361,43.68240126,19.12707765,0.728240296,5.22209257,2.286326838,1.780907133,7.508419408,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.04,0.25,0.2,8.145393227,71.13898548,21.55454954,27.54387062,5.98932108,0.754538072,5.794550105,1.755702818,0.487853754,7.550252923,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.2,-0.416666667,0.2,7.741369051,92.52127585,5.725533714,5.725533714,0,0.520311098,7.162413414,0.443234695,0,7.605648109,0,0,0,0,0,0
-0.599,-0.6,-1,-0.68,-0.75,-0.6,10.53352296,41.96337584,30.24358894,57.8011436,27.55755466,0.335183242,4.420221829,3.185715385,2.902781347,7.605937214,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.36,-0.416666667,-0.6,9.049893814,72.85498438,11.78862293,20.15505555,8.366432624,0.22296385,6.593298725,1.066857857,0.757153268,7.660156582,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.04,-0.25,0.6,7.817517542,93.31581919,4.819885906,4.819885906,0,0.614967253,7.294980535,0.376795426,0,7.671775961,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.6,-0.75,-0.6,7.958984433,83.45492685,14.1387019,14.1387019,0,0.521691193,6.642164637,1.125297083,0,7.76746172,0,0,0,0,0,0
-0.599,-0.6,-1,0.04,-0.25,0.6,7.921902185,81.47533025,16.9004848,16.9004848,0,0.631041055,6.454395967,1.338839875,0,7.793235842,0,0,0,0,0,0
-0.3505,-0.2,-1,-0.04,-0.083333333,-0.2,8.06537663,82.76761409,14.60305666,15.21122911,0.608172453,0.796311994,6.675519804,1.177791519,0.049051399,7.853311323,0,0,0,0,0,0
-0.599,-0.6,-1,-0.76,-0.75,-0.6,10.85806073,42.33488807,30.17559187,57.33994246,27.16435059,0.361434932,4.596747857,3.276484091,2.949521684,7.873231947,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.04,0.25,0.2,8.018275955,93.70310494,4.521912504,4.521912504,0,0.822135501,7.513373532,0.362579423,0,7.875952956,0,0,0,0,0,0
-0.599,-0.6,-1,-0.04,-0.416666667,0.2,8.43536735,78.26037219,15.54022079,19.92064468,4.380423892,0.526869305,6.601549884,1.31087471,0.369504847,7.912424594,0,0,0,0,0,0
-0.3505,-0.2,-1,0.12,0.583333333,0.6,8.374955409,72.26096868,23.49834209,26.84571046,3.347368367,0.964977211,6.051823905,1.967975672,0.280340608,8.019799577,0,0,0,0,0,0
0.1495,-0.2,0.818181818,-0.12,-0.416666667,0.2,8.177894227,92.69173764,5.653205981,5.653205981,0,0.559187915,7.580232261,0.462313206,0,8.042545467,0,0,0,0,0,0
-0.599,-0.6,-1,-0.84,-0.75,-0.6,10.76758579,45.25654231,29.79156192,54.40248517,24.61092325,0.38996274,4.873037019,3.207831988,2.650002275,8.080869007,0,0,0,0,0,0
-0.3505,-0.2,-1,0.04,0.25,0.2,8.526550753,76.36300999,20.81867634,22.10888144,1.290205096,0.819087983,6.511130803,1.775115005,0.110009992,8.286245808,0,0,0,0,0,0
0.4505,0.6,0.818181818,0.2,0.583333333,0.6,8.456604911,94.79568205,3.443364547,3.443364547,0,0.982411234,8.016496304,0.291191735,0,8.307688039,0,0,0,0,0,0
0.4505,0.6,0.818181818,0.04,0.25,0.2,8.592770408,93.61082529,4.555772074,4.555772074,0,0.887528386,8.043763294,0.391467035,0,8.435230329,0,0,0,0,0,0
-0.599,-0.6,-1,-0.84,-0.583333333,-0.2,11.29256846,46.50095815,28.31885216,53.1041002,24.78524804,0.419583008,5.251152534,3.197925767,2.798891103,8.449078301,0,0,0,0,0,0
0.4505,0.6,0.818181818,-0.12,-0.083333333,-0.2,8.640863015,91.56349606,6.266019045,6.266019045,0,0.800247391,7.911876266,0.541438122,0,8.453314388,0,0,0,0,0,0
0.4,-0.2,0.818181818,-0.76,-0.583333333,-0.2,8.605380544,80.8012082,18.1262884,18.1262884,0,0.374331164,6.95325145,1.559836095,0,8.513087545,0,0,0,0,0,0
0.1495,-0.2,0.818181818,0.04,-0.25,0.6,8.749795599,93.61990124,4.62498399,4.62498399,0,0.671583743,8.191549998,0.404676646,0,8.596226644,0,0,0,0,0,0
-0.3505,-0.2,-1,0.04,-0.083333333,-0.2,8.847434834,85.33638809,12.17031164,12.52918029,0.358868646,0.855971954,7.550081326,1.076760392,0.03175067,8.626841718,0,0,0,0,0,0
